date,close,ret,pos,pnl,eq,year
2016-07-04,8630.0,0.0004637143519592435,-0.0,-0.0,1.0,2016
2016-07-05,8609.0,-0.00243337195828508,-0.0,0.0,1.0,2016
2016-07-06,8468.0,-0.016378208851202225,-0.0,0.0,1.0,2016
2016-07-07,8562.0,0.011100614076523296,-0.0,-0.0,1.0,2016
2016-07-11,8736.0,0.020322354590049052,-0.0,-0.0,1.0,2016
2016-07-12,8777.0,0.004693223443223538,-0.0,-0.0,1.0,2016
2016-07-13,8793.0,0.001822946337017184,-0.0,-0.0,1.0,2016
2016-07-14,8813.0,0.0022745365631753334,-0.0,-0.0,1.0,2016
2016-07-15,8911.0,0.011119936457505863,-0.0,-0.0,1.0,2016
2016-07-18,8998.0,0.009763214005162224,-0.0,-0.0,1.0,2016
2016-07-19,9033.0,0.0038897532785062694,-0.0,-0.0,1.0,2016
2016-07-20,9003.0,-0.0033211557622052634,-0.0,0.0,1.0,2016
2016-07-21,8984.0,0.0069491145483076,-0.0,-0.0,1.0,2016
2016-07-22,8925.0,-0.006567230632235077,-0.0,0.0,1.0,2016
2016-07-25,8891.0,-0.003809523809523818,-0.0,0.0,1.0,2016
2016-07-26,8965.0,0.008323023281970432,-0.0,-0.0,1.0,2016
2016-07-27,8976.0,0.0012269938650306678,-0.0,-0.0,1.0,2016
2016-07-28,8981.0,0.0005570409982174063,-0.0,-0.0,1.0,2016
2016-07-29,8893.0,-0.009798463422781456,-0.0,0.0,1.0,2016
2016-08-01,9041.0,0.01664230293489255,-0.0,-0.0,1.0,2016
2016-08-02,9015.0,-0.002875788076540209,-0.0,0.0,1.0,2016
2016-08-03,8933.0,-0.009095951192456986,-0.0,0.0,1.0,2016
2016-08-04,8971.0,0.004253890070525124,-0.0,-0.0,1.0,2016
2016-08-05,9063.0,0.01025526697135204,-0.0,-0.0,1.0,2016
2016-08-08,9116.0,0.005847953216374213,-0.0,-0.0,1.0,2016
2016-08-09,9118.0,0.00021939447125940426,-0.0,-0.0,1.0,2016
2016-08-10,9145.0,0.0029611756964247338,-0.0,-0.0,1.0,2016
2016-08-11,9085.0,-0.006560962274466897,-0.0,0.0,1.0,2016
2016-08-12,9130.0,0.004953219592735314,-0.0,-0.0,1.0,2016
2016-08-15,9125.0,-0.0005476451259583959,-0.0,0.0,1.0,2016
2016-08-16,9088.0,-0.004054794520547911,-0.0,0.0,1.0,2016
2016-08-17,9012.0,-0.0003327787021630835,-0.0,0.0,1.0,2016
2016-08-18,9042.0,0.0033288948069241098,-0.0,-0.0,1.0,2016
2016-08-19,8946.0,-0.010617120106171218,-0.0,0.0,1.0,2016
2016-08-22,8892.0,-0.006036217303822977,-0.0,0.0,1.0,2016
2016-08-23,8984.0,0.010346378767431386,-0.0,-0.0,1.0,2016
2016-08-24,8956.0,-0.003116651825467498,-0.0,0.0,1.0,2016
2016-08-25,9072.0,0.012952210808396591,-0.0,-0.0,1.0,2016
2016-08-26,9080.0,0.0008818342151675207,-0.0,-0.0,1.0,2016
2016-08-29,9042.0,-0.004185022026431673,-0.0,0.0,1.0,2016
2016-08-30,9036.0,-0.0006635700066357497,-0.0,0.0,1.0,2016
2016-08-31,8976.0,-0.006640106241699861,-0.0,0.0,1.0,2016
2016-09-01,8941.0,-0.003899286987522288,-0.0,0.0,1.0,2016
2016-09-02,8931.0,-0.0011184431271670237,-0.0,0.0,1.0,2016
2016-09-05,9062.0,0.01466801030119802,-0.0,-0.0,1.0,2016
2016-09-06,9150.0,0.009710880600309002,-0.0,-0.0,1.0,2016
2016-09-07,9253.0,0.011256830601092949,-0.0,-0.0,1.0,2016
2016-09-08,9239.0,-0.0015130228034151427,-0.0,0.0,1.0,2016
2016-09-09,9127.0,-0.012122524082692987,-0.0,0.0,1.0,2016
2016-09-10,8953.0,-0.019064314670757088,-0.0,0.0,1.0,2016
2016-09-12,8899.0,-0.006031497821959109,-0.0,0.0,1.0,2016
2016-09-13,8906.0,0.0007866052365435028,-0.0,-0.0,1.0,2016
2016-09-14,8874.0,-0.003593083314619383,-0.0,0.0,1.0,2016
2016-09-19,9151.0,0.031214784764480585,-1.0,-0.03136478476448058,0.9686352152355194,2016
2016-09-20,9141.0,-0.001092776745710844,-0.0,-0.00015,0.9684899199532341,2016
2016-09-21,9221.0,0.008751777704846253,-0.0,-0.0,0.9684899199532341,2016
2016-09-22,9188.0,-0.003578787550157281,-0.0,0.0,0.9684899199532341,2016
2016-09-23,9236.0,0.005224205485415689,-0.0,-0.0,0.9684899199532341,2016
2016-09-26,9154.0,-0.008878302295366014,-0.0,0.0,0.9684899199532341,2016
2016-09-29,9253.0,0.010814944286650752,-0.0,-0.0,0.9684899199532341,2016
2016-09-30,9128.0,-0.013509132173349148,-0.0,0.0,0.9684899199532341,2016
2016-10-03,9194.0,0.007230499561788006,-0.0,-0.0,0.9684899199532341,2016
2016-10-04,9247.0,0.005764629105938557,-0.0,-0.0,0.9684899199532341,2016
2016-10-05,9240.0,-0.0007570022710068347,-0.0,0.0,0.9684899199532341,2016
2016-10-06,9256.0,0.0017316017316018062,-0.0,-0.0,0.9684899199532341,2016
2016-10-07,9253.0,-0.0003241140881590221,-0.0,0.0,0.9684899199532341,2016
2016-10-11,9191.0,-0.006700529557981172,-0.0,0.0,0.9684899199532341,2016
2016-10-12,9260.0,0.007507344141007399,-0.0,-0.0,0.9684899199532341,2016
2016-10-13,9203.0,-0.006155507559395201,-0.0,0.0,0.9684899199532341,2016
2016-10-14,9169.0,-0.003694447462783912,-0.0,0.0,0.9684899199532341,2016
2016-10-17,9166.0,-0.00032718944268728123,-0.0,0.0,0.9684899199532341,2016
2016-10-18,9212.0,0.005018546803403856,-0.0,-0.0,0.9684899199532341,2016
2016-10-19,9280.0,0.007381676074685206,-0.0,-0.0,0.9684899199532341,2016
2016-10-20,9278.0,0.0009709785305858087,-0.0,-0.0,0.9684899199532341,2016
2016-10-21,9264.0,-0.0015089458935115818,-0.0,0.0,0.9684899199532341,2016
2016-10-24,9309.0,0.004857512953367893,-0.0,-0.0,0.9684899199532341,2016
2016-10-25,9374.0,0.006982490063379476,-0.0,-0.0,0.9684899199532341,2016
2016-10-26,9336.0,-0.004053765735011705,-0.0,0.0,0.9684899199532341,2016
2016-10-27,9287.0,-0.005248500428449043,-0.0,0.0,0.9684899199532341,2016
2016-10-28,9280.0,-0.0007537417895984166,-0.0,0.0,0.9684899199532341,2016
2016-10-31,9283.0,0.000323275862069039,-0.0,-0.0,0.9684899199532341,2016
2016-11-01,9280.0,-0.0003231713885597509,-0.0,0.0,0.9684899199532341,2016
2016-11-02,9160.0,-0.012931034482758674,-0.0,0.0,0.9684899199532341,2016
2016-11-03,9088.0,-0.007860262008733576,-0.0,0.0,0.9684899199532341,2016
2016-11-04,9064.0,-0.002640845070422504,-1.0,0.002490845070422504,0.9709022782961034,2016
2016-11-07,9196.0,0.014563106796116498,-1.0,-0.014563106796116498,0.9567629247286844,2016
2016-11-08,9225.0,0.003153545019573656,-0.0,-0.00015,0.9566194102899751,2016
2016-11-09,8929.0,-0.03208672086720865,-0.0,0.0,0.9566194102899751,2016
2016-11-10,9177.0,0.027774666815992832,-1.0,-0.027924666815992833,0.929906131987916,2016
2016-11-11,8967.0,-0.022883295194508046,-0.0,-0.00015,0.9297666460681179,2016
2016-11-14,8945.0,-0.0024534403925504655,-1.0,0.0023034403925504656,0.9319083081163173,2016
2016-11-15,8938.0,-0.0007825600894354467,-1.0,0.0007825600894354467,0.9326375823652624,2016
2016-11-16,8983.0,0.005034683374356641,-1.0,-0.005034683374356641,0.9279420474350278,2016
2016-11-17,8962.0,0.002236636099306688,-1.0,-0.002236636099306688,0.9258665787536701,2016
2016-11-18,8987.0,0.002789555902700247,-1.0,-0.002789555902700247,0.9232838221737949,2016
2016-11-21,9017.0,0.003338155112940999,-1.0,-0.003338155112940999,0.9202017575621098,2016
2016-11-22,9140.0,0.013640900521237675,-1.0,-0.013640900521237675,0.907649376927737,2016
2016-11-23,9175.0,0.003829321663019636,-0.0,-0.00015,0.9075132295211978,2016
2016-11-24,9142.0,-0.0035967302452316607,-0.0,0.0,0.9075132295211978,2016
2016-11-25,9162.0,0.0021877050973528878,-0.0,-0.0,0.9075132295211978,2016
2016-11-28,9223.0,0.006657934948701261,-0.0,-0.0,0.9075132295211978,2016
