symbol,strategy,params,round_trip_cost_pct,n,win_rate,avg_pnl,total_pnl,pf
0050,orb,"(5, False)",0.1285,101,0.33663366336633666,-0.00030148590019218587,-0.03045007591941077,0.9061457180722313
0050,orb,"(10, False)",0.1285,86,0.38372093023255816,-0.0007188808645631258,-0.061823754352428824,0.8079861768514309
0050,orb,"(15, False)",0.1285,83,0.3614457831325301,-0.0012703947337949697,-0.10544276290498249,0.6869304757238435
0050,orb,"(30, False)",0.1285,60,0.48333333333333334,0.00021601869893924836,0.012961121936354902,1.073205819774495
0050,orb_long_only,"(5, True)",0.1285,49,0.3469387755102041,-0.0002111369690894004,-0.01034571148538062,0.9339046022074302
0050,orb_long_only,"(10, True)",0.1285,40,0.4,-0.0007945478659906909,-0.03178191463962764,0.7968949305159172
0050,orb_long_only,"(15, True)",0.1285,40,0.4,-0.0011073819625241912,-0.04429527850096765,0.7294040060033397
0050,orb_long_only,"(30, True)",0.1285,32,0.46875,-0.00015511376512168272,-0.004963640483893847,0.9499087494251397
0050,orb_vwap_long,"(10,)",0.1285,40,0.4,-0.0007945478659906909,-0.03178191463962764,0.7968949305159172
0050,orb_vwap_long,"(15,)",0.1285,40,0.4,-0.0011073819625241912,-0.04429527850096765,0.7294040060033397
0050,orb_vwap_long,"(30,)",0.1285,32,0.46875,-0.00015511376512168272,-0.004963640483893847,0.9499087494251397
0050,vwap_pullback,"(None,)",0.1285,55,0.4727272727272727,-0.002067867472257087,-0.11373271097413977,0.35914911264464244
0050,momentum,"(15,)",0.1285,106,0.3113207547169811,-0.0010253412326693566,-0.1086861706629518,0.7024354263172709
0050,momentum,"(30,)",0.1285,75,0.4266666666666667,0.00020463753209968815,0.01534781490747661,1.0762116988900683
0050,momentum,"(60,)",0.1285,68,0.4852941176470588,-2.0056352227516643e-05,-0.0013638319514711317,0.9911682527999106
0050,rsi_revert,"(25, 75)",0.1285,404,0.3712871287128713,-0.0011320413920380677,-0.45734472238337937,0.26855450538215303
0050,rsi_revert,"(30, 70)",0.1285,511,0.35812133072407043,-0.001142158982920632,-0.583643240272443,0.24643095262036635
0050,gap_go,"(0.005,)",0.1285,21,0.3333333333333333,-0.0008688274665552986,-0.01824537679766127,0.8301418152384137
0050,gap_go,"(0.008,)",0.1285,16,0.4375,0.0017085620193520064,0.027336992309632102,1.4421101941520806
0056,orb,"(5, False)",0.1285,83,0.4457831325301205,3.815534834671322e-05,0.003166893912777197,1.0112760133507623
0056,orb,"(10, False)",0.1285,72,0.4722222222222222,-0.0002765675076882212,-0.019912860553551924,0.9189134744652558
0056,orb,"(15, False)",0.1285,68,0.4852941176470588,-0.0007511410617686053,-0.051077592200265164,0.7937714326055737
0056,orb,"(30, False)",0.1285,54,0.5185185185185185,-0.0004756409996152864,-0.025684613979225467,0.8550463808388971
0056,orb_long_only,"(5, True)",0.1285,39,0.41025641025641024,-0.0005885674501719846,-0.0229541305567074,0.8388732588872488
0056,orb_long_only,"(10, True)",0.1285,34,0.4117647058823529,-0.0014311617717859477,-0.04865950024072222,0.6639535650408416
0056,orb_long_only,"(15, True)",0.1285,32,0.4375,-0.00147893728548271,-0.04732599313544672,0.646098088507497
0056,orb_long_only,"(30, True)",0.1285,23,0.5652173913043478,-0.000313331234485421,-0.007206618393164683,0.8996367765997083
0056,orb_vwap_long,"(10,)",0.1285,34,0.4117647058823529,-0.0014311617717859477,-0.04865950024072222,0.6639535650408416
0056,orb_vwap_long,"(15,)",0.1285,32,0.4375,-0.00147893728548271,-0.04732599313544672,0.646098088507497
0056,orb_vwap_long,"(30,)",0.1285,23,0.5652173913043478,-0.000313331234485421,-0.007206618393164683,0.8996367765997083
0056,vwap_pullback,"(None,)",0.1285,41,0.5121951219512195,-0.0020099212923510965,-0.08240677298639495,0.38719209894839984
0056,momentum,"(15,)",0.1285,103,0.3786407766990291,-0.0014075630858566344,-0.14497899784323334,0.6224024304567585
0056,momentum,"(30,)",0.1285,79,0.379746835443038,-0.0009825793396297194,-0.07762376783074783,0.7003547729595067
0056,momentum,"(60,)",0.1285,58,0.43103448275862066,-0.0005119500709618726,-0.029693104115788613,0.8103927048888727
0056,rsi_revert,"(25, 75)",0.1285,350,0.32571428571428573,-0.0012174367546347999,-0.42610286412217996,0.2395912779973366
0056,rsi_revert,"(30, 70)",0.1285,442,0.3212669683257919,-0.0012105704853569636,-0.5350721545277779,0.23048590365872473
0056,gap_go,"(0.005,)",0.1285,24,0.2916666666666667,-0.002195141227667377,-0.05268338946401705,0.5764257736716507
0056,gap_go,"(0.008,)",0.1285,15,0.4666666666666667,-0.00015547000012401332,-0.0023320500018602,0.9684972352413471
1303,orb,"(5, False)",0.17850000000000002,91,0.46153846153846156,0.0016387644018166167,0.14912756056531212,1.1197603858719518
1303,orb,"(10, False)",0.17850000000000002,80,0.4625,-0.0007118264130108604,-0.05694611304086883,0.9539409844030753
1303,orb,"(15, False)",0.17850000000000002,70,0.45714285714285713,-0.0024018592319924783,-0.16813014623947348,0.8539824204196911
1303,orb,"(30, False)",0.17850000000000002,51,0.5490196078431373,0.00048744905504105547,0.02485990180709383,1.0365526097869988
